signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,67,60,1217550,85152,121553,23079,31689,42464,19114,3823,Down
0,61,60,350867,274754,96535,18478,34020,21741,10282,5055,Down
0,50,61,675761,389918,131769,9168,34409,27689,26046,13676,Down
0,63,67,1003839,62049,27209,57915,33428,54966,35607,38922,Down
0,61,70,112681,22133,46719,1133,4745,10568,3181,2499,Down
0,74,64,185479,24307,2880,3776,3364,6163,2967,3632,Down
0,87,69,1950203,492781,243129,73919,26838,133436,64569,19908,Down
0,80,67,2179800,197997,101703,70799,90181,66678,26072,11378,Down
0,70,53,2001577,181820,14210,47096,35790,17039,14744,5261,Down
0,63,56,1905279,294522,34568,71892,25287,28681,20730,13771,Down
0,57,57,209964,13809,6213,6033,2369,2870,5003,1766,Down
0,47,66,293516,7515,8238,11913,8334,1680,1340,1649,Down
0,43,69,667903,163103,46450,17546,16850,11160,8765,7003,Down
0,57,75,381789,71622,6660,74906,50355,52276,13685,16488,Down
0,61,70,598785,506019,204780,196119,309832,143681,90138,57159,Down
0,57,48,735831,172629,9799,8978,12207,8243,19145,2198,Down
0,67,47,184703,297807,67818,50881,20552,47043,17451,4930,Down
0,51,47,2107343,392930,102511,269504,351035,45706,31097,20491,Down
0,40,48,621608,59394,29159,4795,4642,5112,2548,3510,Down
0,47,53,1368008,1169346,152675,80212,122426,129397,118696,35833,Down
0,57,53,589988,47477,7896,34586,65122,31924,14245,3804,Down
0,69,47,391172,77437,13466,24250,57896,21636,7747,14467,Down
0,81,34,1041840,147465,6770,16637,15932,32593,24840,7348,Down
0,88,38,930515,71324,16577,15267,20888,19405,8625,4555,Down
0,69,37,651939,540015,85883,69369,33910,40781,13058,21319,Down
0,56,34,1118040,673861,95835,47856,48285,39426,42326,34460,Down
0,38,37,842638,798006,19088,107490,22001,26928,9761,7613,Down
0,37,35,1384397,254481,45787,55275,97089,56941,27722,17564,Up
26,37,35,1388756,34667,11525,13232,12039,10198,6480,4311,Up
0,43,29,943260,33430,4470,5827,23458,5081,7315,3695,Up
51,43,29,588934,33283,11501,3108,4242,3002,1314,980,Up
0,50,37,308222,10128,2931,1220,269,1286,294,354,Up
0,67,43,1360872,155539,14860,47152,28506,40125,8658,6428,Up
0,75,44,1372037,152562,21358,57214,25677,68624,6145,3460,Up
0,78,53,133053,24627,10151,1466,5689,6030,1079,988,Up
0,84,53,1285837,282553,176532,94158,304941,120261,10006,12379,Up
0,77,56,2077177,318585,131282,58375,84988,35469,12166,13633,Up
26,77,56,1372264,44679,25471,29345,7023,19749,5871,1755,Up
0,64,53,1156389,402783,54222,101604,281055,57341,29151,24060,Up
0,64,53,449993,66074,24415,8163,14656,17527,6339,5577,Up
0,56,60,1068799,179525,98117,118970,68943,35811,19129,36173,Up
0,60,54,672970,379485,86818,60598,73080,48255,31373,11704,Up
26,60,54,459913,55304,4049,10918,3299,3941,1641,1867,Up
0,54,60,254082,338752,76907,59017,62546,30891,13663,7011,Up
0,57,57,1500971,926233,123189,373062,424884,320346,66559,217937,Up
0,57,61,310796,53211,8878,62456,3225,10244,10248,4012,Up
0,56,56,965133,225282,15595,26007,6218,22348,11352,6178,Up
26,56,56,1317410,176912,37254,36504,102301,78954,14788,6675,Up
0,74,53,1075358,118463,29422,62163,204500,81438,37611,14960,Up
51,74,53,783366,80492,15733,19453,22362,33598,16009,11521,Up
0,60,50,1368867,406640,89188,38154,77668,34284,29643,15375,Up
0,64,44,221791,37537,27954,14959,24920,10028,10470,3896,Up
0,66,60,2013970,139354,133103,10867,43993,23291,21859,11337,Up
0,63,67,1130665,1008940,764333,817984,1289942,742480,197323,80461,Up
25,63,67,2167825,312505,44304,103526,93905,148762,48307,19606,Up
26,63,67,1615921,88530,14867,57400,40274,21170,14924,7402,Up
0,78,74,94600,13551,6040,3489,5399,5799,3260,3109,Up
0,78,70,125897,78708,12990,37096,7807,15645,13928,5281,None
0,75,64,636657,22695,5558,7483,6781,2501,1278,604,Down
0,60,47,435484,83776,4359,6210,26359,6112,11255,6556,Down
0,43,47,460231,317002,3193,145882,73279,23585,28908,14999,Down
0,50,37,1650811,76441,5892,14227,13297,21703,7915,6944,Down
0,53,26,1480704,545190,23451,67177,33351,65462,28305,9790,Down
0,57,44,1716159,294039,110176,82547,23084,42191,77058,17921,Down
0,54,44,2183941,1310514,136575,442128,67919,69254,51959,33155,Down
0,47,41,646324,414164,32470,25120,5391,53065,42034,21526,Down
0,40,47,3696221,556053,107631,52661,99643,35897,49550,19256,Down
0,37,47,223136,41820,17257,9569,6520,4381,3016,3992,Down
51,37,47,1609111,952901,37779,118663,115810,189351,59045,190510,Down
25,37,47,1281529,276194,33430,28668,11911,33063,39554,22040,Down
25,37,47,6,1,1,1,2,0,0,1,Down
25,37,47,100193,5127,2162,3548,928,1679,682,696,Down
0,47,38,111510,43223,5982,3116,4176,4714,3653,745,Down
0,47,50,1983487,249144,44309,95178,98619,37038,21797,33010,Down
0,53,51,1333773,238687,48892,63939,87765,35550,38350,14868,Down
0,54,40,51362,74826,5866,8184,1654,6240,1571,1338,Down
0,53,56,2099981,106335,67049,70540,31800,21896,20819,10032,Down
0,56,61,1471176,56607,31725,35826,37185,19139,5678,8153,Down
0,63,56,371357,15602,3412,735,3402,4000,3968,1703,Down
0,61,66,2102106,605577,168648,126669,169496,49556,26154,15128,Down
0,66,56,195893,50718,18633,6605,6511,11922,10420,2809,Down
0,64,54,120260,27555,21517,6672,10583,7545,3321,5650,Down
0,53,56,1738083,319712,57167,16988,26182,24569,17183,13693,Down
0,63,54,1777288,152561,16183,51169,40770,35598,61827,33891,Down
0,69,57,131611,42890,38863,14365,30663,27424,10701,11732,Down
0,60,56,1029797,36101,7698,18169,6957,3221,4247,4671,Down
0,69,60,208743,207603,33112,48665,27062,43558,10737,17675,Down
0,66,63,284936,35741,20801,4873,6505,7288,2586,1526,Down
0,60,64,1581405,348987,203779,63548,51110,95532,25765,21325,None
