signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,27,40,175151,327979,54202,28789,18609,29489,11363,12230,Up
26,27,40,226260,42237,14330,31123,20643,30558,13223,7308,Up
0,34,53,368810,87324,34085,59540,21373,18617,5097,5704,Up
0,51,63,556059,104339,77430,22018,13903,42415,20145,9028,Up
26,51,63,242608,13081,3279,919,3783,6189,4815,1600,Up
0,66,47,1711628,1310134,32049,226006,444604,603877,432462,988481,Up
0,80,51,579397,520778,110592,171934,124405,156570,61117,13760,Down
0,84,53,566540,55165,77633,23053,37789,25710,14749,10823,Down
0,75,41,1216467,601760,142533,59141,119151,78483,68083,16470,Down
0,47,56,687835,585668,204063,85399,82559,45052,24221,157533,Down
0,48,48,178820,112465,17031,10621,18521,29823,14109,8798,Down
0,51,47,1466131,391749,351884,297927,189293,226010,95753,58066,Down
26,51,47,803563,48801,28643,15876,14289,19003,14821,7531,Down
26,51,47,442234,39399,1458,13982,4471,5199,8370,1619,Down
0,67,56,627945,41981,45402,21537,41403,37087,29119,12539,Down
26,67,56,1498215,298430,316380,155376,368415,505012,130522,174233,Down
26,67,56,980871,702953,142562,221596,93612,187133,217166,131977,Down
26,67,56,847322,915561,28935,125519,116662,81159,72501,73536,Down
0,83,60,1656652,1448597,746734,310953,368633,372499,292350,73502,Down
26,83,60,64534,94403,19210,18668,10946,25913,21519,14429,Down
0,87,48,637735,537254,23809,31032,77700,179246,22178,16435,Down
26,87,48,817911,15941,9293,24701,14355,17163,3493,3772,Down
0,78,34,939777,582629,40769,90985,42655,71845,47048,11604,Down
26,78,34,237532,208037,85591,40236,20744,19351,42101,22042,Down
26,78,34,267941,53815,6379,11627,5395,29233,19731,4936,Down
26,78,34,953497,456300,149742,84008,171562,46766,47950,25994,Down
0,54,30,605973,226285,53848,83714,35547,26534,36752,9792,Down
0,51,16,588696,447820,43420,33519,22816,61394,25219,22317,None
0,40,23,1279871,1038847,94092,79948,143643,139506,119047,29373,None
