signal,attention,meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,24,64,1387752,1510173,999232,586464,103718,312806,766276,353082,Backward
0,30,83,1310158,435798,174227,76497,49557,81495,76611,26195,Backward
0,44,69,1103563,741891,38702,88911,208396,186848,129943,18975,Backward
0,43,80,1965312,521822,340669,123791,34693,97294,44457,15999,Backward
0,51,66,2363913,174005,53651,34665,62711,60163,65393,26193,Backward
0,54,66,217631,47551,16799,19497,18487,12241,17147,10270,Backward
0,48,74,796522,404268,70881,40116,94199,61570,23485,26603,Backward
0,53,63,264549,27007,8579,3922,3183,5142,2843,1788,None
0,53,63,419792,59311,8804,15775,14137,16104,5411,5040,Left
0,53,48,1575119,813135,48148,92163,52977,136476,87047,48105,Left
0,53,48,1225823,1077271,134869,131393,211558,177549,122010,89538,Left
0,57,44,116259,17197,5375,3252,8789,4746,2421,2190,Left
0,44,43,2233174,482075,32760,129118,102678,48806,49417,21517,Left
0,43,60,242551,75025,41428,24402,29297,19526,12737,10611,Left
0,48,77,1465079,505844,296558,187861,46921,194675,104066,57730,Left
0,51,75,1738634,147662,49471,18896,78812,53972,31725,12487,Left
0,54,87,437630,208658,90052,105279,26447,33861,13381,9954,Left
0,41,63,462547,404523,6484,33025,21409,25409,35923,10739,Left
0,41,51,787894,91875,677,39416,45357,26476,16407,17584,Right
0,26,51,895182,701119,147743,69166,126381,81555,79111,26045,Right
0,34,53,1190838,109035,127088,190152,230757,63196,76666,21793,Right
0,50,81,308098,38867,18335,57923,39045,22691,22807,4486,Right
0,51,80,1097403,549576,110238,80369,99761,141215,75667,22959,Right
0,51,81,80996,69860,21486,2320,2982,7455,9293,4730,Right
0,64,69,1534821,443995,62630,161097,65487,245359,109301,55961,Right
0,63,53,1257322,356356,48192,62073,64657,89681,56524,40622,Right
0,63,74,1555613,909499,1694580,380074,515519,531885,137203,736418,Right
0,69,91,2111261,133609,382321,47398,82165,71485,17999,40867,None
0,40,81,1802819,348295,19459,35028,28475,17517,20950,10825,Up
0,30,91,2069527,499141,365054,23402,128540,84967,131686,111724,Up
0,13,56,1308719,2140669,26395,143552,63713,117438,55650,35827,Up
0,8,38,2305218,2488633,356567,444598,101856,280650,62620,90335,Up
0,16,47,17040,9043,1951,978,866,906,633,801,Up
0,10,21,172896,180889,8980,4934,29206,10562,8398,7864,Up
26,10,21,1399283,149193,39488,73388,53307,14088,25158,21468,Up
0,11,44,750568,75270,39151,11798,11647,8141,19672,12571,Up
0,26,37,26318,13001,1490,1944,3573,4424,1105,1395,Up
26,26,37,771407,39469,13508,18526,13483,4876,5313,1778,Up
26,26,37,916059,1435407,424188,77216,348074,175931,88964,61181,Down
0,44,38,752348,85886,33206,10985,11095,39828,77015,7702,Down
0,60,54,128992,156450,31888,39575,69483,40956,39039,37440,Down
0,93,43,667628,201254,98675,58102,313341,299105,196303,102617,Down
26,93,43,586732,50622,2063,2555,17168,20779,9806,4744,Down
