Signal,Attention,Meditation,delta,theta,alphaL,alphaH,betaL,betaH,gammaL,gammaM,Label
0,75,88,11665,56493,13947,2962,10621,5717,4551,3321,Forward
0,74,75,48954,11814,8795,6220,5061,6435,5181,3662,Forward
0,70,50,16766,62680,6749,10258,3704,5728,11116,3673,Forward
0,66,48,13442,47841,28124,11792,8364,11473,3495,3123,Forward
0,70,77,11514,13517,23906,10156,2483,5715,19146,7540,Forward
0,75,77,5648,14887,15257,3472,1742,11565,6658,7050,Backward
0,78,96,147751,18567,26894,2124,6524,5040,6921,7105,Backward
0,80,97,2762,19047,16849,4141,4589,7076,4100,7388,Backward
0,81,74,19724,44667,12099,9020,9663,10406,8835,6977,Backward
0,67,57,186067,25920,2959,5474,2431,3520,4212,4646,Backward
0,67,60,4786,17018,28383,5166,8127,5831,13135,7059,Backward
0,69,66,5790,12380,16451,19008,8727,9935,10060,11548,Backward
0,60,90,32039,24920,20137,34940,6856,4234,5565,6340,Backward
0,64,100,5843,22694,27391,22122,3250,10512,7582,8294,Backward
0,64,100,11098,30401,22309,17740,3957,8282,6024,2271,Backward
0,57,100,25940,39629,92260,29016,9180,14450,6544,4431,Backward
0,66,100,7698,29049,27511,6493,7014,8588,6754,2631,Backward
0,64,100,20090,12831,21369,3030,11160,5111,4838,3769,Backward
0,67,91,4577,14792,6706,4398,3251,4104,5126,7726,Backward
0,66,91,4217,3533,27717,608,7940,3022,3212,4538,Backward
0,63,97,21015,11919,17253,23157,12852,4954,9630,5944,Backward
0,69,100,9434,12102,49521,7795,1909,17359,13397,8180,Backward
0,63,100,4963,33770,27000,6422,7347,5970,4829,3478,Backward
0,66,100,18473,10022,19015,2040,6696,4486,2660,6392,Backward
0,70,100,6900,26669,20316,9841,10116,8243,3895,7564,Backward
0,63,91,7791,22906,27851,8989,2917,6384,7575,5540,Backward
0,61,100,31511,16463,43760,18923,9210,5532,6749,4206,Backward
0,77,91,20937,9410,11176,10912,14573,18491,8365,10137,Backward
0,81,100,18378,6450,29392,3210,5291,10525,4418,9922,Backward
0,80,100,2405,6144,46762,3085,9611,4836,15026,4155,Backward
0,90,100,10993,7466,12266,12892,4468,5969,4349,9220,Backward
0,75,100,18201,9407,12823,2971,242,3383,2308,1610,Backward
0,64,84,169427,21560,3361,1929,1625,2614,6700,1800,Backward
0,69,75,13973,25178,19051,19622,4806,10527,11289,6824,Backward
0,63,69,99184,10842,10181,4007,910,2077,1867,1678,Backward
0,54,61,36644,16987,12244,3660,1427,2244,1718,2340,
0,53,70,329109,126402,39858,23945,15857,15144,10777,9211,Left
0,53,66,3409,6539,3457,3494,1220,2066,3504,2747,Left
0,60,44,44891,47002,5731,9371,6416,12169,12694,17194,Left
0,69,17,40602,103229,8375,6606,4423,20025,3642,3600,Left
0,80,13,14857,34472,9248,5687,3804,11308,6236,7522,Left
0,77,8,48487,54464,21644,12914,3641,9829,3301,3692,Left
0,78,16,1239,3870,1893,940,2526,1326,2301,1362,Left
0,83,27,39446,29169,6462,8704,14649,11497,6438,2317,Left
0,78,24,7642,50722,8679,6469,3238,9427,7703,5871,Left
0,88,27,15009,11018,10529,4187,4925,7484,5517,1596,Left
